"Search entire store here...","Digite aqui o que procura"
"You have no items in your shopping cart.","Seu carrinho está vazio."
"whishlist","Lista de desejos"
"Featured Products","Produtos em destaque"
"Add to Wishlist","Lista de Desejos"
"Shop By","Opções"
"Currently Shopping by:","Filtrando por:"
"%d Review(s)","%d Avaliações"
"Estimate Shipping","Cálculo de Frete"
"Loading rates...","Calculando valores..."
"Shipping Rates","Formas de envio"
"Customer Reviews","Avaliações do produto"
"Review Title","Título:"
"Last reviews","Últimas Avaliações"
"Sending to Cart","Enviando"
"Item was removed.","Item excluido com sucesso."
"Cannot remove the item.","Não foi possível remover o item."
"Processing","Processando"
"was added to your shopping cart.","Foi adicionado ao carrinho"
"%s was added into cart.","%s foi adicionado ao carrinho."
"Cannot add the item to shopping cart.","Não foi possível adicionar o produto ao carrinho."
"Product Details","Detalhes do produto"
"Estimate Shipping and Tax","Cálculo de frete"
"Avaliable methods","Métodos de envio disponíveis"
"Update Total","Selecionar frete"
